"phrase_id","target_phoneme","target_word_indexes","target_syllable_indexes","phonetic_variant","text","cmu_phonetics","pronounciation_guide","syllable_parts","stress_category","words","syllabified_words","cmu","gibberish","audio_id","audio_file_url","gender"
"gxyuxgxyyf","IH1","[0]","[0]","null","pitch","P_IH1_CH","p_i_ch","pitch","null","[""pitch""]","[""pitch""]","[""P_IH1_CH""]","[""p_i_ch""]","IY2F6ZLOFVDUEX3UGRPTENA","F4/gxyuxgxyyf__F4_en-GB_t4_24.mp3","FEMALE"
"ksswhjfgqw","null","[0]","null","SHORT_LONG_I.LONG","peach","P_IY1_CH","p_ee_ch","peach","null","[""peach""]","[""peach""]","[""P_IY1_CH""]","[""p_ee_ch""]","IY2F6ZLOFVDUEX3UGRPTENI","F4/ksswhjfgqw__F4_en-GB_t4_25.mp3","FEMALE"
"ksswhjfgqw","null","null","null","null","peach","P_IY1_CH","p_ee_ch","peach","null","[""peach""]","[""peach""]","[""P_IY1_CH""]","[""p_ee_ch""]","IY2F6ZLOFVDUEX3UGRPTENI","F4/ksswhjfgqw__F4_en-GB_t4_25.mp3","FEMALE"
"ksswhjfgqw","null","null","null","null","peach","P_IY1_CH","p_ee_ch","peach","null","[""peach""]","[""peach""]","[""P_IY1_CH""]","[""p_ee_ch""]","IY2F6ZLOFVDUEX3UGRPTENI","F4/ksswhjfgqw__F4_en-GB_t4_25.mp3","FEMALE"
"tyscmuwcrf","null","[0]","null","SHORT_LONG_I.SHORT","live","L_IH1_V","l_i_v","live","null","[""live""]","[""live""]","[""L_IH1_V""]","[""l_i_v""]","IY2F6ZLOFVDUEX3UGRPTENQ","F4/tyscmuwcrf__F4_en-GB_t4_26.mp3","FEMALE"
"tyscmuwcrf","IH1","[0]","[0]","null","live","L_IH1_V","l_i_v","live","null","[""live""]","[""live""]","[""L_IH1_V""]","[""l_i_v""]","IY2F6ZLOFVDUEX3UGRPTENQ","F4/tyscmuwcrf__F4_en-GB_t4_26.mp3","FEMALE"
"ztfkbufqtu","null","null","null","null","bin","B_IH1_N","b_i_n","bin","null","[""bin""]","[""bin""]","[""B_IH1_N""]","[""b_i_n""]","IY2F6ZLOFVDUEX3UGRPTG","F4/ztfkbufqtu__F4_en-GB_t4_3.mp3","FEMALE"
"ztfkbufqtu","IH1","[0]","[0]","null","bin","B_IH1_N","b_i_n","bin","null","[""bin""]","[""bin""]","[""B_IH1_N""]","[""b_i_n""]","IY2F6ZLOFVDUEX3UGRPTG","F4/ztfkbufqtu__F4_en-GB_t4_3.mp3","FEMALE"
"twhkjfbezt","null","[5]","[0]","null","Do you usually commute by *car*?","D_UW1 Y_UW1 Y_UW1|ZH_AH0|W_AH0|L_IY0 K_AH0_M|Y_UW1_T B_AY1 K_AA1_R","d_oo y_oo y_oo|j_uh|w_uh|l_ee k_uh_m|y_oo_t b_ay k_o_r","Do you u|su|al|ly com|mute by car","null","[""Do"",""you"",""usually"",""commute"",""by"",""*car*?""]","[""Do"",""you"",""u|su|al|ly"",""com|mute"",""by"",""car""]","[""D_UW1"",""Y_UW1"",""Y_UW1|ZH_AH0|W_AH0|L_IY0"",""K_AH0_M|Y_UW1_T"",""B_AY1"",""K_AA1_R""]","[""d_oo"",""y_oo"",""y_oo|j_uh|w_uh|l_ee"",""k_uh_m|y_oo_t"",""b_ay"",""k_o_r""]","IYZF6ZLOFVKVGX3UGFPTC","F2/twhkjfbezt__F2_en-US_t1_1.mp3","FEMALE"
"zsjuehxbbn","null","[3]","null","null","I study business *and* marketing.","AY1 S_T_AH1|D_IY0 B_IH1|Z_N_AH0_S AH0_N_D M_AA1_R|K_AH0|T_IH0_NG","ay s_t_uh|d_ee b_i|z_n_uh_s uh_n_d m_o_r|k_uh|t_i_ng","I stud|y busi|ness and mar|ket|ing","CORRECTION","[""I"",""study"",""business"",""*and*"",""marketing.""]","[""I"",""stud|y"",""busi|ness"",""and"",""mar|ket|ing""]","[""AY1"",""S_T_AH1|D_IY0"",""B_IH1|Z_N_AH0_S"",""AH0_N_D"",""M_AA1_R|K_AH0|T_IH0_NG""]","[""ay"",""s_t_uh|d_ee"",""b_i|z_n_uh_s"",""uh_n_d"",""m_o_r|k_uh|t_i_ng""]","IYZF6ZLOFVKVGX3UGFPTCMA","F2/zsjuehxbbn__F2_en-US_t1_10.mp3","FEMALE"
"zsjuehxbbn","null","[3]","[0]","null","I study business *and* marketing.","AY1 S_T_AH1|D_IY0 B_IH1|Z_N_AH0_S AH0_N_D M_AA1_R|K_AH0|T_IH0_NG","ay s_t_uh|d_ee b_i|z_n_uh_s uh_n_d m_o_r|k_uh|t_i_ng","I stud|y busi|ness and mar|ket|ing","CORRECTION","[""I"",""study"",""business"",""*and*"",""marketing.""]","[""I"",""stud|y"",""busi|ness"",""and"",""mar|ket|ing""]","[""AY1"",""S_T_AH1|D_IY0"",""B_IH1|Z_N_AH0_S"",""AH0_N_D"",""M_AA1_R|K_AH0|T_IH0_NG""]","[""ay"",""s_t_uh|d_ee"",""b_i|z_n_uh_s"",""uh_n_d"",""m_o_r|k_uh|t_i_ng""]","IYZF6ZLOFVKVGX3UGFPTCMA","F2/zsjuehxbbn__F2_en-US_t1_10.mp3","FEMALE"
"rkrgvhwtmm","null","[1]","[0]","null","I'll *lock* it in, thank you!","AY1_L L_AA1_K IH1_T IH0_N TH_AE1_NG_K Y_UW1","ay_l l_o_k i_t i_n th_a_ng_k y_oo","I'll lock it in thank you","HIGHLIGHT","[""I''ll"",""*lock*"",""it"",""in,"",""thank"",""you!""]","[""I''ll"",""lock"",""it"",""in"",""thank"",""you""]","[""AY1_L"",""L_AA1_K"",""IH1_T"",""IH0_N"",""TH_AE1_NG_K"",""Y_UW1""]","[""ay_l"",""l_o_k"",""i_t"",""i_n"",""th_a_ng_k"",""y_oo""]","IYZF6ZLOFVKVGX3UGFPTCMBQ","F2/rkrgvhwtmm__F2_en-US_t1_100.mp3","FEMALE"
"xmnvmwmcfh","null","[2]","[0]","null","Can you *copy* me on your email?","K_AE1_N Y_UW1 K_AA1|P_IY0 M_IY1 AA1_N Y_AO1_R IY0|M_EY1_L","k_a_n y_oo k_o|p_ee m_ee o_n y_aw_r ee|m_ey_l","Can you cop|y me on your e|mail","null","[""Can"",""you"",""*copy*"",""me"",""on"",""your"",""email?""]","[""Can"",""you"",""cop|y"",""me"",""on"",""your"",""e|mail""]","[""K_AE1_N"",""Y_UW1"",""K_AA1|P_IY0"",""M_IY1"",""AA1_N"",""Y_AO1_R"",""IY0|M_EY1_L""]","[""k_a_n"",""y_oo"",""k_o|p_ee"",""m_ee"",""o_n"",""y_aw_r"",""ee|m_ey_l""]","IYZF6ZLOFVKVGX3UGFPTCMBR","F2/xmnvmwmcfh__F2_en-US_t1_101.mp3","FEMALE"
"jwqukvmfjv","null","[2]","[0]","null","Sure, I'll *CC* you in.","SH_UH1_R AY1_L S_IY1|S_IY1 Y_UW1 IH0_N","sh_u_r ay_l s_ee|s_ee y_oo i_n","Sure I'll C|C you in","HIGHLIGHT","[""Sure,"",""I''ll"",""*CC*"",""you"",""in.""]","[""Sure"",""I''ll"",""C|C"",""you"",""in""]","[""SH_UH1_R"",""AY1_L"",""S_IY1|S_IY1"",""Y_UW1"",""IH0_N""]","[""sh_u_r"",""ay_l"",""s_ee|s_ee"",""y_oo"",""i_n""]","IYZF6ZLOFVKVGX3UGFPTCMBS","F2/jwqukvmfjv__F2_en-US_t1_102.mp3","FEMALE"
"tzafvwcbyk","null","[4]","[0]","null","Hello, is Mr Kim *available* today?","HH_AH0|L_OW1 IH1_Z M_IH1_S|T_ER0 K_IH1_M AH0|V_EY1|L_AH0|B_AH0_L T_AH0|D_EY1","h_uh|l_ow i_z m_i_s|t_uhr k_i_m uh|v_ey|l_uh|b_uh_l t_uh|d_ey","Hel|lo is mis|ter Kim a|vail|a|ble to|day","null","[""Hello,"",""is"",""Mr"",""Kim"",""*available*"",""today?""]","[""Hel|lo"",""is"",""mis|ter"",""Kim"",""a|vail|a|ble"",""to|day""]","[""HH_AH0|L_OW1"",""IH1_Z"",""M_IH1_S|T_ER0"",""K_IH1_M"",""AH0|V_EY1|L_AH0|B_AH0_L"",""T_AH0|D_EY1""]","[""h_uh|l_ow"",""i_z"",""m_i_s|t_uhr"",""k_i_m"",""uh|v_ey|l_uh|b_uh_l"",""t_uh|d_ey""]","IYZF6ZLOFVKVGX3UGFPTCMBT","F2/tzafvwcbyk__F2_en-US_t1_103.mp3","FEMALE"
"bbuxvwrqmm","null","[5]","[0]","null","Of course, I'll put you *through*.","AH1_V K_AO1_R_S AY1_L P_UH1_T Y_UW1 TH_R_UW1","uh_v k_aw_r_s ay_l p_u_t y_oo th_r_oo","Of course I'll put you through","HIGHLIGHT","[""Of"",""course,"",""I''ll"",""put"",""you"",""*through*.""]","[""Of"",""course"",""I''ll"",""put"",""you"",""through""]","[""AH1_V"",""K_AO1_R_S"",""AY1_L"",""P_UH1_T"",""Y_UW1"",""TH_R_UW1""]","[""uh_v"",""k_aw_r_s"",""ay_l"",""p_u_t"",""y_oo"",""th_r_oo""]","IYZF6ZLOFVKVGX3UGFPTCMBU","F2/bbuxvwrqmm__F2_en-US_t1_104.mp3","FEMALE"
"yqxtxvjvtw","null","[3]","[0]","null","Is this a *good* time to chat?","IH1_Z DH_IH1_S AH0 G_UH1_D T_AY1_M T_UW1 CH_AE1_T","i_z th_i_s uh g_u_d t_ay_m t_oo ch_a_t","Is this a good time to chat","null","[""Is"",""this"",""a"",""*good*"",""time"",""to"",""chat?""]","[""Is"",""this"",""a"",""good"",""time"",""to"",""chat""]","[""IH1_Z"",""DH_IH1_S"",""AH0"",""G_UH1_D"",""T_AY1_M"",""T_UW1"",""CH_AE1_T""]","[""i_z"",""th_i_s"",""uh"",""g_u_d"",""t_ay_m"",""t_oo"",""ch_a_t""]","IYZF6ZLOFVKVGX3UGFPTCMBV","F2/yqxtxvjvtw__F2_en-US_t1_105.mp3","FEMALE"
"ngqbfmnmcj","null","[1]","[0]","null","Yes, *hang* on.","Y_EH1_S HH_AE1_NG AA1_N","y_e_s h_a_ng o_n","Yes hang on","HIGHLIGHT","[""Yes,"",""*hang*"",""on.""]","[""Yes"",""hang"",""on""]","[""Y_EH1_S"",""HH_AE1_NG"",""AA1_N""]","[""y_e_s"",""h_a_ng"",""o_n""]","IYZF6ZLOFVKVGX3UGFPTCMBW","F2/ngqbfmnmcj__F2_en-US_t1_106.mp3","FEMALE"
"vchqytkbca","null","[1]","[0]","null","My *number* is 02 45 82 98.","M_AY1 N_AH1_M|B_ER0 IH1_Z OW2|T_UW1 F_AO1_R|T_IY0|F_AY2_V EY1|T_IY0|T_UW1 N_AY1_N|T_IY0|EY1_T","m_ay n_uh_m|b_uhr i_z ow|t_oo f_aw_r|t_ee|f_ay_v ey|t_ee|t_oo n_ay_n|t_ee|ey_t","My num|ber is o|-two for|ty|-five eigh|ty-|two nine|ty|-eight","null","[""My"",""*number*"",""is"",""02"",""45"",""82"",""98.""]","[""My"",""num|ber"",""is"",""o|-two"",""for|ty|-five"",""eigh|ty-|two"",""nine|ty|-eight""]","[""M_AY1"",""N_AH1_M|B_ER0"",""IH1_Z"",""OW2|T_UW1"",""F_AO1_R|T_IY0|F_AY2_V"",""EY1|T_IY0|T_UW1"",""N_AY1_N|T_IY0|EY1_T""]","[""m_ay"",""n_uh_m|b_uhr"",""i_z"",""ow|t_oo"",""f_aw_r|t_ee|f_ay_v"",""ey|t_ee|t_oo"",""n_ay_n|t_ee|ey_t""]","IYZF6ZLOFVKVGX3UGFPTCMBX","F2/vchqytkbca__F2_en-US_t1_107.mp3","FEMALE"
"nfvhfhwacc","null","[4]","[0]","null","Sorry, would you mind *slowing* down?","S_AA1|R_IY0 W_UH1_D Y_UW1 M_AY1_N_D S_L_OW1|IH0_NG D_AW1_N","s_o|r_ee w_u_d y_oo m_ay_n_d s_l_ow|i_ng d_au_n","Sor|ry would you mind slo|wing down","HIGHLIGHT","[""Sorry,"",""would"",""you"",""mind"",""*slowing*"",""down?""]","[""Sor|ry"",""would"",""you"",""mind"",""slo|wing"",""down""]","[""S_AA1|R_IY0"",""W_UH1_D"",""Y_UW1"",""M_AY1_N_D"",""S_L_OW1|IH0_NG"",""D_AW1_N""]","[""s_o|r_ee"",""w_u_d"",""y_oo"",""m_ay_n_d"",""s_l_ow|i_ng"",""d_au_n""]","IYZF6ZLOFVKVGX3UGFPTCMBY","F2/nfvhfhwacc__F2_en-US_t1_108.mp3","FEMALE"
"hbeeukrgvm","null","[7]","[0]","null","Can I speak to a customer service *representative*?","K_AE1_N AY1 S_P_IY1_K T_UW1 AH0 K_AH1_S|T_AH0|M_ER0 S_ER1|V_AH0_S R_EH2|P_R_AH0|Z_EH1_N|T_AH0|T_IH0_V","k_a_n ay s_p_ee_k t_oo uh k_uh_s|t_uh|m_uhr s_uhr|v_uh_s r_e|p_r_uh|z_e_n|t_uh|t_i_v","Can I speak to a cus|tom|er serv|ice rep|re|sent|a|tive","null","[""Can"",""I"",""speak"",""to"",""a"",""customer"",""service"",""*representative*?""]","[""Can"",""I"",""speak"",""to"",""a"",""cus|tom|er"",""serv|ice"",""rep|re|sent|a|tive""]","[""K_AE1_N"",""AY1"",""S_P_IY1_K"",""T_UW1"",""AH0"",""K_AH1_S|T_AH0|M_ER0"",""S_ER1|V_AH0_S"",""R_EH2|P_R_AH0|Z_EH1_N|T_AH0|T_IH0_V""]","[""k_a_n"",""ay"",""s_p_ee_k"",""t_oo"",""uh"",""k_uh_s|t_uh|m_uhr"",""s_uhr|v_uh_s"",""r_e|p_r_uh|z_e_n|t_uh|t_i_v""]","IYZF6ZLOFVKVGX3UGFPTCMBZ","F2/hbeeukrgvm__F2_en-US_t1_109.mp3","FEMALE"
"ytxymkfjuz","null","[3]","[0]","null","When is our *next* team meeting?","W_EH1_N IH1_Z AW1_R N_EH1_K_S_T T_IY1_M M_IY1|T_IH0_NG","w_e_n i_z au_r n_e_k_s_t t_ee_m m_ee|t_i_ng","When is our next team meet|ing","null","[""When"",""is"",""our"",""*next*"",""team"",""meeting?""]","[""When"",""is"",""our"",""next"",""team"",""meet|ing""]","[""W_EH1_N"",""IH1_Z"",""AW1_R"",""N_EH1_K_S_T"",""T_IY1_M"",""M_IY1|T_IH0_NG""]","[""w_e_n"",""i_z"",""au_r"",""n_e_k_s_t"",""t_ee_m"",""m_ee|t_i_ng""]","IYZF6ZLOFVKVGX3UGFPTCMI","F2/ytxymkfjuz__F2_en-US_t1_11.mp3","FEMALE"
"sqkqyqkxjv","null","[6]","[0]","null","Sure, can I put you on *hold* for a moment?","SH_UH1_R K_AE1_N AY1 P_UH1_T Y_UW1 AA1_N HH_OW1_L_D F_AO1_R AH0 M_OW1|M_AH0_N_T","sh_u_r k_a_n ay p_u_t y_oo o_n h_ow_l_d f_aw_r uh m_ow|m_uh_n_t","Sure can I put you on hold for a mo|ment","HIGHLIGHT","[""Sure,"",""can"",""I"",""put"",""you"",""on"",""*hold*"",""for"",""a"",""moment?""]","[""Sure"",""can"",""I"",""put"",""you"",""on"",""hold"",""for"",""a"",""mo|ment""]","[""SH_UH1_R"",""K_AE1_N"",""AY1"",""P_UH1_T"",""Y_UW1"",""AA1_N"",""HH_OW1_L_D"",""F_AO1_R"",""AH0"",""M_OW1|M_AH0_N_T""]","[""sh_u_r"",""k_a_n"",""ay"",""p_u_t"",""y_oo"",""o_n"",""h_ow_l_d"",""f_aw_r"",""uh"",""m_ow|m_uh_n_t""]","IYZF6ZLOFVKVGX3UGFPTCMJQ","F2/sqkqyqkxjv__F2_en-US_t1_110.mp3","FEMALE"
"egbcgahmnc","null","[1]","[0]","null","Is *now* a good time?","IH1_Z N_AW1 AH0 G_UH1_D T_AY1_M","i_z n_au uh g_u_d t_ay_m","Is now a good time","null","[""Is"",""*now*"",""a"",""good"",""time?""]","[""Is"",""now"",""a"",""good"",""time""]","[""IH1_Z"",""N_AW1"",""AH0"",""G_UH1_D"",""T_AY1_M""]","[""i_z"",""n_au"",""uh"",""g_u_d"",""t_ay_m""]","IYZF6ZLOFVKVGX3UGFPTCMJR","F2/egbcgahmnc__F2_en-US_t1_111.mp3","FEMALE"
"rzcsmkctyr","null","[6]","[0]","null","Not really, can I call you *back*?","N_AA1_T R_IH1|L_IY0 K_AE1_N AY1 K_AO1_L Y_UW1 B_AE1_K","n_o_t r_i|l_ee k_a_n ay k_aw_l y_oo b_a_k","Not real|ly can I call you back","HIGHLIGHT","[""Not"",""really,"",""can"",""I"",""call"",""you"",""*back*?""]","[""Not"",""real|ly"",""can"",""I"",""call"",""you"",""back""]","[""N_AA1_T"",""R_IH1|L_IY0"",""K_AE1_N"",""AY1"",""K_AO1_L"",""Y_UW1"",""B_AE1_K""]","[""n_o_t"",""r_i|l_ee"",""k_a_n"",""ay"",""k_aw_l"",""y_oo"",""b_a_k""]","IYZF6ZLOFVKVGX3UGFPTCMJS","F2/rzcsmkctyr__F2_en-US_t1_112.mp3","FEMALE"
"rebymbhmgk","null","[4]","[0]","null","I'm sorry, Mrs Diaz *isn't* available at the moment.","AY1_M S_AA1|R_IY0 M_IH1|S_IH0_Z D_IY1|AE2_Z IH1|Z_AH0_N_T AH0|V_EY1|L_AH0|B_AH0_L AE1_T DH_AH0 M_OW1|M_AH0_N_T","ay_m s_o|r_ee m_i|s_i_z d_ee|a_z i|z_uh_n_t uh|v_ey|l_uh|b_uh_l a_t th_uh m_ow|m_uh_n_t","I'm sor|ry mis|ses Di|az is|n't a|vail|a|ble at the mo|ment","null","[""I''m"",""sorry,"",""Mrs"",""Diaz"",""*isn''t*"",""available"",""at"",""the"",""moment.""]","[""I''m"",""sor|ry"",""mis|ses"",""Di|az"",""is|n''t"",""a|vail|a|ble"",""at"",""the"",""mo|ment""]","[""AY1_M"",""S_AA1|R_IY0"",""M_IH1|S_IH0_Z"",""D_IY1|AE2_Z"",""IH1|Z_AH0_N_T"",""AH0|V_EY1|L_AH0|B_AH0_L"",""AE1_T"",""DH_AH0"",""M_OW1|M_AH0_N_T""]","[""ay_m"",""s_o|r_ee"",""m_i|s_i_z"",""d_ee|a_z"",""i|z_uh_n_t"",""uh|v_ey|l_uh|b_uh_l"",""a_t"",""th_uh"",""m_ow|m_uh_n_t""]","IYZF6ZLOFVKVGX3UGFPTCMJT","F2/rebymbhmgk__F2_en-US_t1_113.mp3","FEMALE"
"yhnghgzvvg","null","[5]","[0]","null","Can I leave her a *message*?","K_AE1_N AY1 L_IY1_V HH_ER1 AH0 M_EH1|S_AH0_JH","k_a_n ay l_ee_v h_uhr uh m_e|s_uh_dj","Can I leave her a mes|sage","HIGHLIGHT","[""Can"",""I"",""leave"",""her"",""a"",""*message*?""]","[""Can"",""I"",""leave"",""her"",""a"",""mes|sage""]","[""K_AE1_N"",""AY1"",""L_IY1_V"",""HH_ER1"",""AH0"",""M_EH1|S_AH0_JH""]","[""k_a_n"",""ay"",""l_ee_v"",""h_uhr"",""uh"",""m_e|s_uh_dj""]","IYZF6ZLOFVKVGX3UGFPTCMJU","F2/yhnghgzvvg__F2_en-US_t1_114.mp3","FEMALE"
"jsbwjcgrfn","null","[4]","[0]","null","The meeting is on *Tuesday*.","DH_AH0 M_IY1|T_IH0_NG IH1_Z AA1_N T_Y_UW1_Z|D_EY2","th_uh m_ee|t_i_ng i_z o_n t_oo_z|d_ey","The meet|ing is on Tues|day","HIGHLIGHT","[""The"",""meeting"",""is"",""on"",""*Tuesday*.""]","[""The"",""meet|ing"",""is"",""on"",""Tues|day""]","[""DH_AH0"",""M_IY1|T_IH0_NG"",""IH1_Z"",""AA1_N"",""T_Y_UW1_Z|D_EY2""]","[""th_uh"",""m_ee|t_i_ng"",""i_z"",""o_n"",""t_oo_z|d_ey""]","IYZF6ZLOFVKVGX3UGFPTCMQ","F2/jsbwjcgrfn__F2_en-US_t1_12.mp3","FEMALE"
"yfevfjmqxk","null","[4]","null","null","Nice to meet you, *Alex*. How are you?","N_AY1_S T_UW1 M_IY1_T Y_UW1 AE1|L_AH0_K_S HH_AW1 AA1_R Y_UW1","n_ay_s t_oo m_ee_t y_oo a|l_uh_k_s h_au o_r y_oo","Nice to meet you Al|ex How are you","null","[""Nice"",""to"",""meet"",""you,"",""*Alex*."",""How"",""are"",""you?""]","[""Nice"",""to"",""meet"",""you"",""Al|ex"",""How"",""are"",""you""]","[""N_AY1_S"",""T_UW1"",""M_IY1_T"",""Y_UW1"",""AE1|L_AH0_K_S"",""HH_AW1"",""AA1_R"",""Y_UW1""]","[""n_ay_s"",""t_oo"",""m_ee_t"",""y_oo"",""a|l_uh_k_s"",""h_au"",""o_r"",""y_oo""]","IYZF6ZLOFVKVGX3UGFPTCMY","F2/yfevfjmqxk__F2_en-US_t1_13.mp3","FEMALE"
"yfevfjmqxk","null","[4]","[0]","null","Nice to meet you, *Alex*. How are you?","N_AY1_S T_UW1 M_IY1_T Y_UW1 AE1|L_AH0_K_S HH_AW1 AA1_R Y_UW1","n_ay_s t_oo m_ee_t y_oo a|l_uh_k_s h_au o_r y_oo","Nice to meet you Al|ex How are you","null","[""Nice"",""to"",""meet"",""you,"",""*Alex*."",""How"",""are"",""you?""]","[""Nice"",""to"",""meet"",""you"",""Al|ex"",""How"",""are"",""you""]","[""N_AY1_S"",""T_UW1"",""M_IY1_T"",""Y_UW1"",""AE1|L_AH0_K_S"",""HH_AW1"",""AA1_R"",""Y_UW1""]","[""n_ay_s"",""t_oo"",""m_ee_t"",""y_oo"",""a|l_uh_k_s"",""h_au"",""o_r"",""y_oo""]","IYZF6ZLOFVKVGX3UGFPTCMY","F2/yfevfjmqxk__F2_en-US_t1_13.mp3","FEMALE"
"ehvfkzyrkk","null","[5]","[0]","null","Did I tell you I *finally* got a promotion?","D_IH1_D AY1 T_EH1_L Y_UW1 AY1 F_AY1|N_AH0|L_IY0 G_AA1_T AH0 P_R_AH0|M_OW1|SH_AH0_N","d_i_d ay t_e_l y_oo ay f_ay|n_uh|l_ee g_o_t uh p_r_uh|m_ow|sh_uh_n","Did I tell you I fi|nal|ly got a pro|mo|tion","null","[""Did"",""I"",""tell"",""you"",""I"",""*finally*"",""got"",""a"",""promotion?""]","[""Did"",""I"",""tell"",""you"",""I"",""fi|nal|ly"",""got"",""a"",""pro|mo|tion""]","[""D_IH1_D"",""AY1"",""T_EH1_L"",""Y_UW1"",""AY1"",""F_AY1|N_AH0|L_IY0"",""G_AA1_T"",""AH0"",""P_R_AH0|M_OW1|SH_AH0_N""]","[""d_i_d"",""ay"",""t_e_l"",""y_oo"",""ay"",""f_ay|n_uh|l_ee"",""g_o_t"",""uh"",""p_r_uh|m_ow|sh_uh_n""]","IYZF6ZLOFVKVGX3UGFPTCNI","F2/ehvfkzyrkk__F2_en-US_t1_15.mp3","FEMALE"
"htebkfykrs","null","[4]","[0]","null","Congrats! Your hard work *finally* paid off!","K_AH0_N|G_R_AE1_T_S Y_AO1_R HH_AA1_R_D W_ER1_K F_AY1|N_AH0|L_IY0 P_EY1_D AO1_F","k_uh_n|g_r_a_t_s y_aw_r h_o_r_d w_uhr_k f_ay|n_uh|l_ee p_ey_d aw_f","Con|grats Your hard work fi|nal|ly paid off","EMOTION","[""Congrats!"",""Your"",""hard"",""work"",""*finally*"",""paid"",""off!""]","[""Con|grats"",""Your"",""hard"",""work"",""fi|nal|ly"",""paid"",""off""]","[""K_AH0_N|G_R_AE1_T_S"",""Y_AO1_R"",""HH_AA1_R_D"",""W_ER1_K"",""F_AY1|N_AH0|L_IY0"",""P_EY1_D"",""AO1_F""]","[""k_uh_n|g_r_a_t_s"",""y_aw_r"",""h_o_r_d"",""w_uhr_k"",""f_ay|n_uh|l_ee"",""p_ey_d"",""aw_f""]","IYZF6ZLOFVKVGX3UGFPTCNQ","F2/htebkfykrs__F2_en-US_t1_16.mp3","FEMALE"
"zyrkyhegam","null","[0]","[0]","null","Do you want to grab coffee after the meeting?","D_UW1 Y_UW1 W_AA1_N_T T_UW1 G_R_AE1_B K_AA1|F_IY0 AE1_F|T_ER0 DH_AH0 M_IY1|T_IH0_NG","d_oo y_oo w_o_n_t t_oo g_r_a_b k_o|f_ee a_f|t_uhr th_uh m_ee|t_i_ng","Do you want to grab cof|fee af|ter the meet|ing","null","[""Do"",""you"",""want"",""to"",""grab"",""coffee"",""after"",""the"",""meeting?""]","[""Do"",""you"",""want"",""to"",""grab"",""cof|fee"",""af|ter"",""the"",""meet|ing""]","[""D_UW1"",""Y_UW1"",""W_AA1_N_T"",""T_UW1"",""G_R_AE1_B"",""K_AA1|F_IY0"",""AE1_F|T_ER0"",""DH_AH0"",""M_IY1|T_IH0_NG""]","[""d_oo"",""y_oo"",""w_o_n_t"",""t_oo"",""g_r_a_b"",""k_o|f_ee"",""a_f|t_uhr"",""th_uh"",""m_ee|t_i_ng""]","IYZF6ZLOFVKVGX3UGFPTCNY","F2/zyrkyhegam__F2_en-US_t1_17.mp3","FEMALE"
"exytchxjjh","null","[2]","[0]","null","I would *love* to!","AY1 W_UH1_D L_AH1_V T_UW1","ay w_u_d l_uh_v t_oo","I would love to","EMOTION","[""I"",""would"",""*love*"",""to!""]","[""I"",""would"",""love"",""to""]","[""AY1"",""W_UH1_D"",""L_AH1_V"",""T_UW1""]","[""ay"",""w_u_d"",""l_uh_v"",""t_oo""]","IYZF6ZLOFVKVGX3UGFPTCOA","F2/exytchxjjh__F2_en-US_t1_18.mp3","FEMALE"
"exytchxjjh","null","[2]","null","null","I would *love* to!","AY1 W_UH1_D L_AH1_V T_UW1","ay w_u_d l_uh_v t_oo","I would love to","EMOTION","[""I"",""would"",""*love*"",""to!""]","[""I"",""would"",""love"",""to""]","[""AY1"",""W_UH1_D"",""L_AH1_V"",""T_UW1""]","[""ay"",""w_u_d"",""l_uh_v"",""t_oo""]","IYZF6ZLOFVKVGX3UGFPTCOA","F2/exytchxjjh__F2_en-US_t1_18.mp3","FEMALE"
"tngjczssyj","null","[0]","[0]","null","Can you add me on LinkedIn?","K_AE1_N Y_UW1 AE1_D M_IY1 AA1_N L_IH1_NG_K|T_IH2_N","k_a_n y_oo a_d m_ee o_n l_i_ng_k|t_i_n","Can you add me on Linked|In","null","[""Can"",""you"",""add"",""me"",""on"",""LinkedIn?""]","[""Can"",""you"",""add"",""me"",""on"",""Linked|In""]","[""K_AE1_N"",""Y_UW1"",""AE1_D"",""M_IY1"",""AA1_N"",""L_IH1_NG_K|T_IH2_N""]","[""k_a_n"",""y_oo"",""a_d"",""m_ee"",""o_n"",""l_i_ng_k|t_i_n""]","IYZF6ZLOFVKVGX3UGFPTCOI","F2/tngjczssyj__F2_en-US_t1_19.mp3","FEMALE"
"gvnhcsrmmn","null","[4]","[0]","null","No, I commute by *train*.","N_OW1 AY1 K_AH0_M|Y_UW1_T B_AY1 T_R_EY1_N","n_ow ay k_uh_m|y_oo_t b_ay t_r_ey_n","No I com|mute by train","CORRECTION","[""No,"",""I"",""commute"",""by"",""*train*.""]","[""No"",""I"",""com|mute"",""by"",""train""]","[""N_OW1"",""AY1"",""K_AH0_M|Y_UW1_T"",""B_AY1"",""T_R_EY1_N""]","[""n_ow"",""ay"",""k_uh_m|y_oo_t"",""b_ay"",""t_r_ey_n""]","IYZF6ZLOFVKVGX3UGFPTE","F2/gvnhcsrmmn__F2_en-US_t1_2.mp3","FEMALE"
